DPM2	CDK5
FAM153A	C22orf26
FAM153A	ESPNL
FAM153A	ADCY2
FAM153A	DKFZP434K028
FAM153A	ADM2
FAM153A	DRD2
FAM153A	DLGAP3
FAM153A	ADAM11
FAM153A	AAA1
FAM153A	DGCR5
FAM153A	CLP1
FAM153A	APOBEC2
FAM153A	CAMKK1
FAM153A	DAND5
FAM153A	CSF2
FAM153A	AIPL1
FAM153A	C19orf47
FAM153A	CDH22
FAM153A	CCDC33
FAM153A	C11orf36
FAM153A	C12orf51
FAM153A	CDYL2
FAM153A	C15orf50
FAM153A	DAB2IP
FAM153A	AMZ1
FAM153A	C9orf163
FAM153A	C21orf104
FAM153A	ARVCF
FAM153A	C18orf45
FAM153A	CACNG6
FAM153A	D21S2088E
FAM153A	C9orf27
FAM153A	DUX1
FAM153A	C1orf222
FAM153A	ATP2B3
FAM153A	C10orf67
ERCC5	CDC16
CCDC116	CAMK2A
CCDC116	C9orf163
CCDC116	AMZ1
CCDC116	C3orf43
CCDC116	ADIG
CCDC116	C21orf104
CCDC116	CADM3
CCDC116	ANKRD53
CCDC116	APOBEC2
CCDC116	C8orf74
CCDC116	C15orf49
ITGA5	EMILIN1
ITGA5	COL6A2
RXFP3	ADRA1D
NDUFS6	MRPL36
MEFV	LOC91149
MEFV	LOC731789
MEFV	LOC283403
MEFV	ESCO2
MEFV	CYLC1
MEFV	ADAMTS20
MEFV	FRRS1
MEFV	FLJ44054
MEFV	C9orf144
MEFV	LECT2
MEFV	KANK1
MEFV	FLJ41278
MEFV	FLJ21408
MEFV	FAM153A
MEFV	LOC100132767
MEFV	LOC100128687
MEFV	ADAM22
MEFV	LOC642313
MEFV	C15orf55
MEFV	LOC220980
MEFV	MED12L
MEFV	GLB1L3
MEFV	LOC100134368
MEFV	LOC349114
MEFV	IQUB
MEFV	LOC440366
MEFV	KIF25
MEFV	IFNA14
MEFV	CLDN17
MEFV	LOC170082
MEFV	LOC100132923
MEFV	LOC145845
MEFV	CETN1
MEFV	CDKN2BAS
MEFV	CCDC33
MEFV	C11orf36
MEFV	FLJ22596
MEFV	LOC284939
MEFV	CACNG6
MEFV	LOC283027
MEFV	DYSFIP1
MEFV	LOC285735
MEFV	IFNA10
MEFV	LOC643648
MEFV	FLJ32955
MEFV	FLJ21075
MEFV	LOC283856
MEFV	LOC728450
MEFV	C12orf67
MEFV	DEFB124
MEFV	GAFA2
MEFV	AQP2
MEFV	LOC388906
MEFV	LOC100131781
MEFV	GRM6
MEFV	LOC283887
MEFV	GYPB
MEFV	GPR182
MEFV	IQSEC3
MEFV	GDEP
MEFV	FKSG49
MEFV	FLJ40288
MEFV	FLJ12825
MEFV	EPHA8
MEFV	DSCR10
MEFV	LOC283045
MEFV	LOC145945
MEFV	FLJ42289
MEFV	LOC728678
MEFV	LOC387826
MEFV	C15orf54
MEFV	LOC100133612
MEFV	DNM1P33
MEFV	C20orf200
MEFV	ESPNL
MEFV	IFNA7
MEFV	DRD2
MEFV	C1QTNF9
MEFV	LOC222070
MEFV	LOC729173
MEFV	FAM9B
MEFV	FLJ45803
MEFV	C3orf47
MEFV	GOLGA6
MEFV	BTG4
MEFV	LOC100144597
MEFV	LCE1E
MEFV	CDYL2
MEFV	C9orf163
MEFV	C18orf45
MEFV	CELSR1
MEFV	LOC282980
MEFV	CEND1
MEFV	LOC100132788
MEFV	LOC644714
MEFV	KRTAP13-1
MEFV	CYP1A2
MEFV	FAM153B
MEFV	C7orf16
MEFV	LOC100131941
MEFV	DYNLRB1
MEFV	LOC728099
MEFV	BAGE
MEFV	C14orf91
MEFV	ALMS1P
MEFV	CHERP
MEFV	LOC100131998
MEFV	LOC100129845
MEFV	C4orf42
MEFV	C10orf136
MEFV	LOC340239
MEFV	DKFZp564N2472
MEFV	LOC283033
MEFV	CES3
MEFV	FRMD8
MEFV	GRIN2C
MEFV	LOC100128003
MEFV	ADAM21
MEFV	ADRB3
MEFV	HERC6
MEFV	LOC284395
MEFV	ACCN5
MEFV	DKFZp547J222
MEFV	LOC338588
MEFV	ADCY2
MEFV	KIR2DL5A
MEFV	LOC642776
MEFV	LOC100134123
MEFV	C8orf68
MEFV	FLJ00049
MEFV	DAND5
MEFV	HERC2P7
MEFV	LOC100131864
MEFV	CDH22
MEFV	GPR62
MEFV	C15orf50
MEFV	KCNH7
MEFV	LOC283914
MEFV	KCTD16
MEFV	LOC402779
MEFV	IFNA16
MEFV	LOC647107
MEFV	KIF5A
MEFV	C10orf67
MEFV	FGF5
MEFV	KRTAP10-11
MEFV	LOC283140
MEFV	LOC653739
MEFV	DLGAP2
MEFV	LOC91548
MEFV	C14orf70
MEFV	CCDC144C
MEFV	LOC100130078
MEFV	ARD1B
MEFV	LOC283688
MEFV	LOC339166
MEFV	IL5RA
MEFV	FAM71A
MEFV	LOC100131581
MEFV	FLJ36208
MEFV	IQCF1
MEFV	LOC283585
MEFV	LOC100131683
MEFV	LOC375010
MEFV	CLDN19
MEFV	LOC440888
MEFV	LOC100128640
MEFV	AVPR1B
MEFV	LOC646982
MEFV	CHRNA2
MEFV	BOLL
MEFV	HRH4
MEFV	ASB15
MEFV	C22orf15
MEFV	KRTAP9-4
MEFV	LOC442028
MEFV	INE1
MEFV	HECW1
MEFV	LOC221946
MEFV	CSF2
MEFV	FLJ11292
MEFV	DLK2
MEFV	LOC284100
MEFV	C5orf47
MEFV	LOC400620
MEFV	GRIK5
MEFV	KRTAP5-8
MEFV	FAM38B2
MEFV	LRRC37B2
MEFV	D21S2088E
MEFV	FAM182A
MEFV	LOC100128329
MEFV	INHBC
MEFV	C10orf103
C10orf25	ASB12
TUT1	NCRNA00028
TUT1	FAM57B
TUT1	CES4
TUT1	HGC6.3
TUT1	C22orf28
TUT1	TCF15
TUT1	CNTROB
TUT1	C2orf55
TUT1	SLC4A9
TUT1	LOC340107
TUT1	MPRIP
TUT1	CD79B
TUT1	TTC9B
TUT1	REST
TUT1	ADRA2C
TUT1	C22orf34
TUT1	C16orf84
TUT1	HMCN2
TUT1	PRG2
TUT1	SPATA21
TUT1	OTOP2
TUT1	ARMC5
TUT1	C19orf68
TUT1	TTLL9
TUT1	ROM1
TUT1	PRDM8
TUT1	HAB1
TUT1	MYLC2PL
TUT1	LOC285191
TUT1	ST3GAL2
TUT1	LENG1
TUT1	GPR44
TUT1	SEMA6B
TUT1	LARGE
TUT1	CRYBB2
TUT1	SCT
TUT1	ODF3B
TUT1	LOC645895
TUT1	SLC22A6
TUT1	BIRC7
TUT1	A4GALT
TUT1	TMEM151B
TUT1	LOXHD1
TUT1	LOC642346
TUT1	FAM148B
TUT1	STK11
TUT1	SPAG8
TUT1	CDH15
TUT1	C3orf58
TUT1	SLC26A1
TUT1	SLC16A11
TUT1	GDF2
TUT1	OR10H1
TUT1	CCDC88B
TUT1	KCNF1
TUT1	LOC442142
TUT1	TCL6
TUT1	JSRP1
TUT1	SCARF2
TUT1	SPTBN4
TUT1	LOC100132618
TUT1	EMID2
TUT1	PTMS
TUT1	MGC50722
TUT1	SARDH
TUT1	REG3G
TUT1	KAAG1
TUT1	DOHH
TUT1	LOC391142
TUT1	MLL4
TUT1	HMX1
TUT1	TUBB4Q
TUT1	CEMP1
TUT1	EPN1
TUT1	CEBPE
TUT1	MMP25
TUT1	GLI4
TUT1	KRT3
TUT1	TMCC2
TUT1	APOBEC3F
TUT1	PPP1R3F
TUT1	LOC390688
TUT1	THAP3
TUT1	BAHCC1
TUT1	LASS1
TUT1	NTN3
TUT1	LOC100134081
TUT1	NKX2-8
TUT1	ARHGAP23
TUT1	POU2F2
TUT1	RP11-265F14.2
TUT1	IGHE
TUT1	LRRC16B
TUT1	SSTR5
TUT1	AKNA
TUT1	CYP2W1
TUT1	KIF1C
TUT1	C10orf46
TUT1	FLJ22536
TUT1	MAPK8IP3
TUT1	TMEM134
TUT1	AGAP2
TUT1	C14orf115
TUT1	GP1BB
TUT1	SLC18A3
TUT1	GRK1
TUT1	RANBP1
TUT1	LOC100128008
TUT1	LOC100133686
TUT1	MGC10814
TUT1	PRODH2
TUT1	HDAC10
TUT1	C17orf55
TUT1	TAC4
